Cesar Hernandez,PHI,-1.17,3.78,3.64,0.08,7.86,14,649
Joc Pederson,LAD,4.93,3.32,2.3,2.65,0.62,14,566
David Peralta,ARI,3.79,2.84,3.88,3.59,-0.1,14,610
Travis Shaw,MIL,5.31,1.41,2.91,4.54,-0.1,14,618
Brandon Belt,SF,2.64,5.14,2.91,2.92,-0.83,13,652
Eric Hosmer,SD,3.41,2.16,3.03,3.59,0.62,13,520
Justin Smoak,TOR,5.7,1.86,3.64,4.54,-3,13,454
Gleyber Torres,NYY,3.79,0.63,2.79,3.46,2.79,13,642
Mike Moustakas,FA,6.84,-1.11,3.52,5.08,-1.55,13,633
Kirby Yates,SD,2.39,-0.65,10.33,-2.44,2.23,12,65
Andrew Miller,STL,3.38,-0.7,8.32,-1.58,2.35,12,65
Charlie Morton,TB,3.88,3.62,-0.93,3.57,2.28,12,152
Jack Flaherty,STL,2.57,4.23,-0.93,4.42,2.13,12,164
Josh Bell,PIT,1.88,4.3,2.55,3.05,-0.1,12,458
Brandon Nimmo,NYM,1.12,3.77,2.79,1.16,2.79,12,537
Jake Lamb,ARI,3.41,1.87,2.55,3.32,0.62,12,446
Jackie Bradley Jr.,BOS,1.5,0.71,2.55,2.38,4.96,12,613
Gary Sanchez,NYY,6.46,-0.17,2.79,4.41,-1.55,12,584
Austin Meadows,TB,1.5,-1.34,2.06,2.11,7.86,12,648
Miguel Andujar,NYY,4.55,-0.18,3.15,4.95,-0.83,12,557
Amed Rosario,NYM,-0.79,-2.89,1.45,1.02,12.92,12,617
Kevin Kiermaier,TB,0.74,-2.07,2.42,1.57,9.31,12,550
Raisel Iglesias,CIN,1.21,-1.11,12.34,-2.44,1.28,11,65
Madison Bumgarner,SF,0.88,4.38,-0.93,4.42,2.56,11,203
Jameson Taillon,PIT,1.1,4.18,-0.93,5.28,1.72,11,190
Mike Foltynewicz,ATL,0.22,5.29,-0.93,5.28,1.03,11,192
Steven Souza Jr.,ARI,2.64,0.91,1.58,1.97,3.52,11,651
Rafael Devers,BOS,3.41,1.14,2.06,3.32,0.62,11,410
Kendrys Morales,TOR,5.31,-0.24,3.03,4.41,-1.55,11,636
Ryan Brasier,BOS,0.4,-1.67,12.74,-2.44,0.8,10,65
Sean Doolittle,WAS,2.21,-0.96,7.92,-1.58,2.59,10,65
Corey Knebel,MIL,3.08,-0.25,6.31,-1.58,2,10,65
Yu Darvish,CHC,1.83,3.06,-0.93,3.57,2.62,10,139
Masahiro Tanaka,NYY,0.65,2.6,-0.93,4.42,3.14,10,153
Jose Quintana,CHC,1.25,4.02,-0.93,5.28,0.66,10,186
Miles Mikolas,STL,-0.15,3.26,-0.93,5.28,2.51,10,198
Dallas Keuchel,FA,3.03,2.96,-0.93,5.28,-0.4,10,196
Robinson Cano,NYM,3.79,2.14,3.27,4.27,-3,10,584
Ian Desmond,COL,1.12,0.93,0.85,1.16,6.41,10,642
Odubel Herrera,PHI,1.88,0.89,2.42,2.65,2.07,10,461
Ken Giles,TOR,1.39,-1.21,9.93,-2.44,1.52,9,65
David Robertson,PHI,2.57,-0.55,7.51,-2.44,2,9,65
Josh Hader,MIL,3.38,0.06,4.7,-1.58,2.47,9,65
Zack Wheeler,NYM,1.41,3.82,-0.93,3.57,1.58,9,171
Joey Lucchesi,SD,1.71,3.77,-0.93,3.57,0.94,9,169
Rick Porcello,BOS,-1.9,3.67,-0.93,6.14,2.43,9,191
Luis Castillo,CIN,0.14,3.82,-0.93,4.42,1.59,9,173
J.A. Happ,NYY,-0.63,3.67,-0.93,5.28,1.56,9,168
Kyle Hendricks,CHC,-0.05,3.31,-0.93,5.28,1.03,9,194
Chris Taylor,LAD,0.35,-0.38,2.67,1.43,4.96,9,602
Jesus Aguilar,MIL,6.08,-1.19,2.91,4.54,-3,9,647
Franmil Reyes,SD,5.7,-0.29,2.3,4,-2.27,9,552
Corey Dickerson,PIT,3.02,-0.57,2.55,3.32,0.62,9,532
Archie Bradley,ARI,1.72,-1.26,9.12,-2.44,1.04,8,65
Drew Steckenrider,MIA,1.63,-1.16,9.12,-2.44,0.92,8,65
Wade Davis,COL,0.31,-1.16,10.73,-2.44,0.08,8,65
Will Smith,SF,2.96,-0.96,6.31,-2.44,1.88,8,65
Hyun-Jin Ryu,LAD,2.14,1.18,-0.93,2.71,2.41,8,126
Cole Hamels,CHC,0.54,3.77,-0.93,4.42,0.64,8,172
Nathan Eovaldi,BOS,0.92,1.89,-0.93,4.42,1.72,8,152
Nick Pivetta,PHI,0.07,3.82,-0.93,3.57,1.5,8,160
Buster Posey,SF,-0.03,5.38,1.45,1.57,-0.83,8,558
Ketel Marte,ARI,-0.41,2.82,1.7,1.7,2.07,8,462
Yasmani Grandal,FA,3.79,2.57,1.58,2.38,-2.27,8,415
Max Muncy,LAD,3.41,2.47,2.06,2.11,-1.55,8,412
DJ LeMahieu,NYY,-0.79,1.82,3.52,0.89,2.79,8,493
Brett Gardner,FA,-0.41,1.45,2.42,-0.19,4.96,8,446
Trey Mancini,BAL,3.79,0.5,2.55,3.19,-2.27,8,349
Manuel Margot,SD,-0.41,-1.26,1.09,0.35,8.58,8,564
Harrison Bader,STL,1.12,-1.74,0.97,1.43,6.41,8,540
Paul DeJong,,4.17,0.47,2.18,3.73,-2.27,8,271
Randal Grichuk,,5.7,-3.55,2.06,3.46,-0.1,8,611
Mychal Givens,BAL,0.07,-1.42,10.73,-2.44,0.32,7,65
Arodys Vizcaino,ATL,0.52,-1.26,9.93,-2.44,0.32,7,65
Trevor Rosenthal,WAS,2.93,-0.65,4.7,-1.58,1.4,7,65
Jesse Winker,CIN,0.74,4.36,2.3,1.29,-1.55,7,241
Luke Voit,NYY,3.02,1.9,1.7,2.24,-2.27,7,414
Enrique Hernandez,LAD,3.02,0.79,1.94,2.51,-0.83,7,637
Ryan Zimmerman,WSH,3.79,0.77,1.7,3.46,-2.27,7,542
Maikel Franco,PHI,4.93,-0.4,1.94,4,-3,7,523
Scooter Gennett,CIN,2.64,-0.84,2.55,3.73,-0.83,7,517
Todd Frazier,NYM,3.79,-1.24,1.21,2.24,1.34,7,522
Adam Jones,,3.41,-2.56,3.15,3.59,-0.83,7,631
Kevin Pillar,,0.35,-2.38,1.7,1.7,5.69,7,502
Hernan Perez,,-0.03,-1.51,0.36,0.89,7.13,7,334
Kenta Maeda,LAD,0.97,1.74,-0.93,1.85,2.62,6,125
Joe Musgrove,PIT,0,2.24,-0.93,3.57,1.21,6,162
Eduardo Rodriguez,BOS,0.09,2.24,-0.93,3.57,1.07,6,136
Steven Matz,NYM,-0.08,2.96,-0.93,3.57,0.62,6,162
Dustin Pedroia,BOS,-1.17,2.82,2.67,0.89,0.62,6,594
Adam Frazier,PIT,-1.55,2.14,1.7,0.08,3.52,6,557
Jed Lowrie,FA,1.5,1.57,2.79,2.65,-3,6,608
Ryan McMahon,COL,1.12,0.82,1.33,1.97,0.62,6,569
Willy Adames,TB,-0.03,-0.09,1.09,1.02,3.52,6,599
